iter	Passed	Remaining
0	135	135770
1	138	69279
2	140	46750
3	142	35394
4	143	28508
5	144	23940
6	145	20658
7	146	18178
8	147	16273
9	148	14745
10	150	13497
11	151	12505
12	152	11601
13	153	10831
14	154	10146
15	155	9549
16	155	9016
17	156	8542
18	157	8116
19	160	7847
20	161	7524
21	162	7241
22	164	6974
23	165	6727
24	166	6506
25	167	6274
26	168	6064
27	169	5868
28	169	5691
29	171	5537
30	173	5412
31	174	5277
32	175	5148
33	176	5022
34	178	4911
35	178	4791
36	179	4676
37	182	4609
38	183	4531
39	185	4457
40	187	4375
41	188	4289
42	188	4201
43	189	4119
44	190	4042
45	191	3965
46	191	3890
47	192	3824
48	194	3765
49	195	3714
50	198	3686
51	199	3645
52	201	3598
53	202	3545
54	203	3490
55	203	3437
56	204	3387
57	206	3354
58	208	3323
59	209	3288
60	211	3253
61	212	3216
62	213	3182
63	215	3144
64	215	3103
65	216	3063
66	217	3027
67	218	2996
68	220	2973
69	222	2950
70	223	2925
71	224	2893
72	225	2858
73	225	2825
74	226	2793
75	227	2763
76	230	2758
77	231	2736
78	234	2728
79	235	2709
80	236	2687
81	237	2661
82	238	2634
83	239	2608
84	239	2581
85	240	2561
86	242	2545
87	244	2530
88	245	2516
89	247	2501
90	249	2487
91	250	2469
92	250	2447
93	251	2427
94	253	2413
95	255	2402
96	257	2395
97	258	2383
98	260	2368
99	261	2349
100	261	2331
101	262	2309
102	263	2291
103	264	2274
104	265	2261
105	266	2246
106	267	2234
107	269	2222
108	270	2208
109	271	2198
110	272	2183
111	273	2168
112	274	2152
113	275	2137
114	275	2122
115	276	2110
116	279	2107
117	280	2099
118	282	2092
119	284	2086
120	285	2074
121	286	2061
122	286	2045
123	287	2032
124	288	2021
125	291	2022
126	293	2017
127	294	2007
128	296	2000
129	298	1995
130	299	1984
131	300	1973
132	302	1973
133	304	1964
134	305	1954
135	307	1951
136	308	1945
137	309	1933
138	310	1922
139	311	1911
140	311	1900
141	312	1889
142	313	1879
143	315	1874
144	317	1869
145	318	1862
146	320	1857
147	321	1851
148	323	1845
149	324	1836
150	324	1826
151	325	1816
152	327	1813
153	328	1806
154	330	1802
155	333	1802
156	334	1797
157	335	1787
158	336	1778
159	337	1769
160	337	1760
161	339	1755
162	340	1750
163	341	1742
164	343	1739
165	345	1733
166	346	1727
167	347	1719
168	347	1711
169	348	1702
170	349	1693
171	350	1685
172	351	1678
173	353	1677
174	354	1673
175	356	1668
176	357	1663
177	359	1658
178	360	1654
179	361	1648
180	362	1639
181	364	1638
182	365	1633
183	367	1628
184	368	1624
185	369	1618
186	371	1614
187	372	1607
188	372	1600
189	373	1593
190	374	1587
191	375	1580
192	377	1579
193	379	1575
194	381	1573
195	383	1571
196	384	1566
197	385	1560
198	386	1553
199	386	1546
200	388	1542
201	390	1542
202	391	1538
203	393	1535
204	395	1532
205	396	1527
206	397	1523
207	398	1518
208	399	1512
209	400	1506
210	401	1500
211	402	1495
212	404	1492
213	405	1489
214	407	1488
215	409	1484
216	410	1481
217	411	1476
218	412	1470
219	413	1464
220	415	1462
221	415	1457
222	416	1452
223	418	1451
224	420	1448
225	421	1443
226	422	1438
227	423	1432
228	423	1427
229	424	1421
230	425	1416
231	427	1414
232	428	1411
233	430	1408
234	431	1405
235	433	1402
236	434	1398
237	435	1393
238	436	1388
239	436	1383
240	437	1378
241	438	1373
242	440	1371
243	441	1368
244	443	1366
245	444	1363
246	446	1361
247	447	1358
248	448	1353
249	449	1348
250	451	1346
251	452	1342
252	454	1340
253	455	1338
254	456	1335
255	457	1330
256	459	1327
257	460	1323
258	461	1321
259	465	1324
260	467	1323
261	468	1320
262	470	1318
263	471	1314
264	474	1315
265	475	1312
266	477	1311
267	479	1310
268	481	1308
269	482	1305
270	483	1301
271	485	1299
272	486	1296
273	489	1296
274	491	1295
275	492	1291
276	493	1288
277	494	1284
278	495	1281
279	498	1281
280	500	1280
281	502	1278
282	503	1276
283	505	1273
284	506	1269
285	507	1266
286	508	1264
287	511	1263
288	513	1262
289	515	1260
290	516	1258
291	517	1254
292	518	1251
293	520	1249
294	522	1248
295	524	1247
296	526	1245
297	527	1242
298	528	1238
299	529	1235
300	530	1233
301	532	1231
302	534	1230
303	536	1229
304	538	1227
305	539	1224
306	541	1221
307	542	1217
308	543	1216
309	545	1215
310	547	1213
311	549	1211
312	551	1210
313	553	1208
314	554	1205
315	556	1204
316	558	1202
317	559	1200
318	561	1197
319	562	1195
320	563	1192
321	564	1188
322	565	1185
323	566	1182
324	568	1180
325	570	1179
326	572	1178
327	574	1177
328	575	1174
329	577	1171
330	578	1168
331	580	1167
332	582	1166
333	584	1165
334	586	1164
335	587	1161
336	589	1159
337	590	1156
338	591	1153
339	593	1152
340	595	1151
341	597	1149
342	599	1147
343	600	1144
344	601	1141
345	602	1139
346	604	1137
347	606	1136
348	608	1134
349	610	1134
350	612	1132
351	613	1129
352	614	1126
353	615	1123
354	617	1122
355	619	1120
356	621	1119
357	623	1118
358	625	1116
359	626	1113
360	627	1110
361	629	1109
362	631	1108
363	633	1106
364	635	1104
365	636	1103
366	638	1100
367	639	1097
368	640	1095
369	642	1093
370	644	1092
371	646	1091
372	648	1089
373	649	1086
374	650	1084
375	651	1081
376	653	1080
377	655	1078
378	657	1077
379	658	1074
380	659	1071
381	660	1068
382	662	1067
383	664	1065
384	666	1064
385	668	1062
386	670	1061
387	671	1059
388	673	1057
389	675	1055
390	677	1054
391	678	1052
392	680	1050
393	681	1048
394	682	1045
395	683	1043
396	685	1040
397	686	1038
398	688	1036
399	690	1035
400	692	1033
401	694	1032
402	695	1030
403	696	1027
404	697	1025
405	699	1023
406	701	1022
407	703	1020
408	705	1019
409	707	1017
410	708	1015
411	709	1012
412	710	1009
413	712	1008
414	714	1007
415	716	1005
416	718	1004
417	720	1002
